# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.

STR_0002    :Spiral berg-og-dal-bane
STR_1137    :{SMALLFONT}{BLACK}Velg andre farge
STR_1138    :{SMALLFONT}{BLACK}Velg tredje farge
STR_1139    :{SMALLFONT}{BLACK}Velg farge for støttestrukturer
STR_1140    :{SMALLFONT}{BLACK}Velg fargeoppsett for kjøretøy
STR_1141    :{SMALLFONT}{BLACK}Velg hvilket kjøretøy/tog som skal modifiseres

STR_1144    :Kan ikke bygge/flytte inngang for denne attraksjonen...
STR_1145    :Kan ikke bygge/flytte utgang for denne attraksjonen...
STR_1146    :Inngang har ikke blitt bygget
STR_1147    :Utgang har ikke blitt bygget
STR_1148    :Kvartfullt
STR_1149    :Halvfuult
STR_1150    :Trekvartfullt
STR_1151    :Fullt
STR_1152    :Minst én person
STR_1153    :Høydemerker på attraksjonsspor
STR_1154    :Høydemerker på land
STR_1155    :Høydemerker på gangveier

STR_1158    :Kan ikke fjerne denne...
STR_1159    :{SMALLFONT}{BLACK}Plasser kulisser, hager og annet tilbehør
STR_1160    :{SMALLFONT}{BLACK}Lag/juster innsjøer og vann
STR_1161    :Kan ikke plassere denne her...

STR_1163    :{STRINGID}{NEWLINE}(Høyreklikk for å modifisere)
STR_1164    :{STRINGID}{NEWLINE}(Høyreklikk for å fjerne)

STR_1166    :Kan ikke senke vannivå her...
STR_1167    :Kan ikke heve vannivå her...
STR_1168    :Valg
STR_1169    :(Ingenting)

STR_1171    :{RED}Stengt - - 

STR_1173    :{SMALLFONT}{BLACK}Bygg gangveier og køer
STR_1174    :Skilt i veien
STR_1175    :Kan ikke bygges på hellende gangvei
STR_1176    :Kan ikke bygge gangvei her...
STR_1177    :Kan ikke fjerne gangvei herfra...
STR_1178    :Upassende bakkehelning
STR_1179    :Gangvei i veien
STR_1180    :Kan ikke bygges under vann!
STR_1181    :Gangveier

STR_1183    :Retning
STR_1184    :Helning
STR_1185    :{SMALLFONT}{BLACK}Retning
STR_1186    :{SMALLFONT}{BLACK}Helning nedover
STR_1187    :{SMALLFONT}{BLACK}Nivå
STR_1188    :{SMALLFONT}{BLACK}Helning oppover
STR_1189    :{SMALLFONT}{BLACK}Bygg valgt gangveisseksjon
STR_1190    :{SMALLFONT}{BLACK}Fjern forrige gangveisseksjon

STR_1194    :Stengt
STR_1195    :Testkjøring
STR_1196    :Åpen
STR_1197    :Ødelagt
STR_1198    :Krasjet!
STR_1199    :{COMMA16} person på attraksjonen
STR_1200    :{COMMA16} personer på attraksjonen
STR_1201    :Ingen i køen
STR_1202    :1 person i køen
STR_1203    :{COMMA16} personer i køen
STR_1204    :{COMMA16} minutt køtid
STR_1205    :{COMMA16} minutter køtid
STR_1206    :{WINDOW_COLOUR_2}Vent på:
STR_1207    :{WINDOW_COLOUR_2}Dra hvis et annet tog ankommer stasjonen
STR_1208    :{WINDOW_COLOUR_2}Dra hvis en annen båt ankommer stasjonen
STR_1209    :{SMALLFONT}{BLACK}Velg om toget skal vente på passasjerer før avgang
STR_1210    :{SMALLFONT}{BLACK}Velg om man skal dra dersom et annet kjøretøy ankommer stasjonen
STR_1211    :{WINDOW_COLOUR_2}Minimum ventetid:
STR_1212    :{WINDOW_COLOUR_2}Maksimum ventetid:
STR_1213    :{SMALLFONT}{BLACK}Velg minste tid å vente før avgang
STR_1214    :{SMALLFONT}{BLACK}Velg største tid å vente før avgang
STR_1215    :{WINDOW_COLOUR_2}Synkroniser med stasjonen ved siden av
STR_1216    :{SMALLFONT}{BLACK}Velg om avgang skal synkroniseres for alle tilliggende stasjoner (for 'løp')
STR_1217    :{COMMA16} sekunder

STR_1220    :Kun utgang
STR_1221    :Ingen inngang
STR_1222    :Ingen utgang
STR_1223    :{SMALLFONT}{BLACK}Transportattraksjoner
STR_1224    :{SMALLFONT}{BLACK}Rolige attraksjoner
STR_1225    :{SMALLFONT}{BLACK}Berg-og-dal-baner
STR_1226    :{SMALLFONT}{BLACK}Spennende attraksjoner
STR_1227    :{SMALLFONT}{BLACK}Vannattraksjoner
STR_1228    :{SMALLFONT}{BLACK}Boder
STR_1229    :tog
STR_1230    :tog
STR_1231    :Tog
STR_1232    :Tog
STR_1233    :{COMMA16} tog
STR_1234    :{COMMA16} tog
STR_1235    :Tog {COMMA16}
STR_1236    :båt
STR_1237    :båter
STR_1238    :Båt
STR_1239    :Båter
STR_1240    :{COMMA16} båt
STR_1241    :{COMMA16} båter
STR_1242    :Båt {COMMA16}
STR_1243    :spor
STR_1244    :spor
STR_1245    :Spor
STR_1246    :Spor
STR_1247    :{COMMA16} spor
STR_1248    :{COMMA16} spor
STR_1249    :Spor {COMMA16}
STR_1250    :brygge
STR_1251    :brygger
STR_1252    :Brygge
STR_1253    :Brygger
STR_1254    :{COMMA16} brygge
STR_1255    :{COMMA16} brygger
STR_1256    :Brygge {COMMA16}
STR_1257    :stasjon
STR_1258    :stasjoner
STR_1259    :Stasjon
STR_1260    :Stasjoner
STR_1261    :{COMMA16} stasjon
STR_1262    :{COMMA16} stasjoner
STR_1263    :Stasjon {COMMA16}
STR_1264    :vogn
STR_1265    :vogner
STR_1266    :Vogn
STR_1267    :Vogner
STR_1268    :{COMMA16} vogn
STR_1269    :{COMMA16} vogner
STR_1270    :Vogn {COMMA16}
STR_1271    :bygning
STR_1272    :bygninger
STR_1273    :Bygning
STR_1274    :Bygninger
STR_1275    :{COMMA16} bygning
STR_1276    :{COMMA16} bygninger
STR_1277    :Bygning {COMMA16}
STR_1278    :struktur
STR_1279    :strukturer
STR_1280    :Struktur
STR_1281    :Strukturer
STR_1282    :{COMMA16} struktur
STR_1283    :{COMMA16} strukturer
STR_1284    :Struktur {COMMA16}
STR_1285    :skip
STR_1286    :skip
STR_1287    :Skip
STR_1288    :Skip
STR_1289    :{COMMA16} skip
STR_1290    :{COMMA16} skip
STR_1291    :Skip {COMMA16}
STR_1292    :kabin
STR_1293    :kabiner
STR_1294    :Kabin
STR_1295    :Kabiner
STR_1296    :{COMMA16} kabin
STR_1297    :{COMMA16} kabiner

STR_1299    :hjul
STR_1300    :hjul
STR_1301    :Hjul
STR_1302    :Hjul
STR_1303    :{COMMA16} hjul
STR_1304    :{COMMA16} hjul
STR_1305    :Hjul {COMMA16}

STR_1307    :ringer

STR_1309    :Ringer

STR_1311    :{COMMA16} ringer

STR_1313    :spiller
STR_1314    :spillere
STR_1315    :Spiller
STR_1316    :Spillere
STR_1317    :{COMMA16} spiller
STR_1318    :{COMMA16} spillere
STR_1319    :Spiller {COMMA16}
STR_1320    :bane
STR_1321    :baner
STR_1322    :Bane
STR_1323    :Baner
STR_1324    :{COMMA16} bane
STR_1325    :{COMMA16} baner
STR_1326    :Bane {COMMA16}
STR_1327    :{SMALLFONT}{BLACK}Roter objekter 90{DEGREE}
STR_1328    :Krever flatt land
STR_1329    :{WINDOW_COLOUR_2}Utskytningsfart:
STR_1330    :{SMALLFONT}{BLACK}Maksfart ved avgang

STR_1335    :{STRINGID} - Inngang{POP16}{POP16}
STR_1336    :{STRINGID} - Inngang stasjon {POP16}{COMMA16}
STR_1337    :{STRINGID} - Utgang{POP16}{POP16}
STR_1338    :{STRINGID} - Utgang stasjon {POP16}{COMMA16}
STR_1339    :{BLACK}Foreløpig ingen testresultater...
STR_1340    :{WINDOW_COLOUR_2}Maksfart: {BLACK}{VELOCITY}
STR_1341    :{WINDOW_COLOUR_2}Varighet: {BLACK}{STRINGID}{STRINGID}{STRINGID}{STRINGID}

STR_1344    :{WINDOW_COLOUR_2}Lengde: {BLACK}{STRINGID}{STRINGID}{STRINGID}{STRINGID}

STR_1347    :{WINDOW_COLOUR_2}Gjennomsnittsfart: {BLACK}{VELOCITY}
STR_1348    :{WINDOW_COLOUR_2}Maks positive vertikale g: {BLACK}{COMMA2DP32}g
STR_1349    :{WINDOW_COLOUR_2}Maks positive vertikale g: {OUTLINE}{RED}{COMMA2DP32}g
STR_1350    :{WINDOW_COLOUR_2}Maks negative vertikale g: {BLACK}{COMMA2DP32}g
STR_1351    :{WINDOW_COLOUR_2}Maks negative vertikale g: {OUTLINE}{RED}{COMMA2DP32}g
STR_1352    :{WINDOW_COLOUR_2}Maks sideveis g: {BLACK}{COMMA2DP32}g
STR_1353    :{WINDOW_COLOUR_2}Maks sideveis g: {OUTLINE}{RED}{COMMA2DP32}g
STR_1354    :{WINDOW_COLOUR_2}Høyeste fall: {BLACK}{LENGTH}
STR_1355    :{WINDOW_COLOUR_2}Antall fall: {BLACK}{COMMA16}
STR_1356    :{WINDOW_COLOUR_2}Antall inversjoner: {BLACK}{COMMA16}
STR_1357    :{WINDOW_COLOUR_2}Hull: {BLACK}{COMMA16}
STR_1358    :{WINDOW_COLOUR_2}Total tid vektløs: {BLACK}{COMMA2DP32}sek.
STR_1359    :{WINDOW_COLOUR_2}Ventetid: {BLACK}{COMMA16} minutt
STR_1360    :{WINDOW_COLOUR_2}Ventetid: {BLACK}{COMMA16} minutter
STR_1361    :Kan ikke endre hastighet...
STR_1362    :Kan ikke endre utskytningshastighet...
STR_1363    :For høyt for støttestrukturer!
STR_1364    :Støttestrukturer for bane kan ikke forlenges!
STR_1365    :In-line Twist (venstre)
STR_1366    :In-line Twist (høyre)

STR_1368    :Half Corkscrew (venstre)
STR_1369    :Half Corkscrew (høyre)
STR_1370    :Barrel Roll (venstre)
STR_1371    :Barrel Roll (høyre)

STR_1373    :Large Half Loop (venstre)
STR_1374    :Large Half Loop (høyre)

STR_1377    :Heartline Roll (venstre)
STR_1378    :Heartline Roll (høyre)
STR_1379    :Reverser (venstre)
STR_1380    :Reverser (høyre)
STR_1381    :Curved Lift Hill (venstre)
STR_1382    :Curved Lift Hill (høyre)

STR_1502    :{SMALLFONT}{OPENQUOTES}I need to go to the bathroom{ENDQUOTES}

STR_1667    :{WINDOW_COLOUR_2}Bathroom:

STR_1679    :Helix up (venstre)
STR_1680    :Helix up (høyre)
STR_1681    :Helix down (venstre)
STR_1682    :Helix down (høyre)

# The following two strings were used to display an error when the disc was missing.
# This has been replaced in OpenRCT2.

STR_2502    :Skjul bakken
STR_2503    :Skjul vertikale flater

### The following need to be reordered to match SDL_keycode layout.

# New strings used in the cheats window previously these were ???

# End of new strings

STR_2900    :{WINDOW_COLOUR_2}

STR_3145    :{SMALLFONT}{BLACK}Scroll {STRINGID} venstre
STR_3146    :{SMALLFONT}{BLACK}Scroll {STRINGID} høyre
STR_3147    :{SMALLFONT}{BLACK}Scroll {STRINGID} venstre fast
STR_3148    :{SMALLFONT}{BLACK}Scroll {STRINGID} høyre fast
STR_3149    :{SMALLFONT}{BLACK}Scroll {STRINGID} venstre/høyre

# Start of tutorial strings. Not used at the moment, so not necessary to translate.

# End of tutorial strings


# New strings, cleaner

STR_5358    :{BLACK}Bathroom:

STR_5470    :Scroll map venstre

STR_5472    :Scroll map høyre

# For identifying client network version in server list window

# tooltip for tab in options window


#tooltips

STR_5826    :{SMALLFONT}{BLACK}Invert høyre mouse dragging of the viewport

STR_5865    :Loggfør chathistorie
STR_5866    :{SMALLFONT}{BLACK}Loggfører all chathistorie til filer i din brukerkatalog.
STR_5867    :{WINDOW_COLOUR_2}Leverandørens navn: {BLACK}{STRING}
STR_5868    :{WINDOW_COLOUR_2}Leverandørens epost: {BLACK}{STRING}
STR_5869    :{WINDOW_COLOUR_2}Leverandørens nettside: {BLACK}{STRING}
STR_5870    :{SMALLFONT}{BLACK}Vis serverinformasjon
STR_5871    :Planter eldes ikke
STR_5872    :{SMALLFONT}{BLACK}Hindre planter i å eldes slik at de ikke visner
STR_5873    :Tillat trekk på alle deler av banen
STR_5874    :{SMALLFONT}{BLACK}Gjør slik at hver del av banen kan brukes som trekk
STR_5875    :Grafikkmotor
STR_5876    :{SMALLFONT}{BLACK}Motoren som bruker for å tegne spillgrafikk

STR_5878    :Software (hardware rendering)

STR_5880    :Valgte objekter
STR_5881    :Ikke valgte objekter
STR_5882    :Egendefinert valuta
STR_5883    :Valg for egendefinert valuta
STR_5884    :{WINDOW_COLOUR_2}Kurs: 
STR_5885    :{WINDOW_COLOUR_2}tilsvarer {COMMA32} GBP (£)
STR_5886    :{WINDOW_COLOUR_2}Valutasymbol:
STR_5887    :Prefiks
STR_5888    :Suffiks
STR_5889    :Symbol for egendefinert valuta
STR_5890    :Skriv inn valutasymbol
STR_5891    :Standard
STR_5892    :{SMALLFONT}{BLACK}Gå til standardmappen
STR_5893    :Valutakurs
STR_5894    :Skriv inn valutakurs
STR_5895    :Lagre bane
STR_5896    :Klarte ikke lagre bane!

#############
# Scenarios #
################
# RCT Original #
################
<Forest Frontiers>
STR_SCNR    :Forest Frontiers
STR_PARK    :Forest Frontiers
STR_DTLS    :Deep in the forest, build a thriving theme park in a large cleared area

<Dynamite Dunes>
STR_SCNR    :Dynamite Dunes
STR_PARK    :Dynamite Dunes
STR_DTLS    :Built in the middle of the desert, this theme park contains just one roller coaster but has space for expansion

<Leafy Lake>
STR_SCNR    :Leafy Lake
STR_PARK    :Leafy Lake
STR_DTLS    :Starting from scratch, build a theme park around a large lake

<Diamond Heights>
STR_SCNR    :Diamond Heights
STR_PARK    :Diamond Heights
STR_DTLS    :Diamond Heights is already a successful theme park with great rides - develop it to double its value

<Evergreen Gardens>
STR_SCNR    :Evergreen Gardens
STR_PARK    :Evergreen Gardens
STR_DTLS    :Convert the beautiful Evergreen Gardens into a thriving theme park

<Bumbly Beach>
STR_SCNR    :Bumbly Beach
STR_PARK    :Bumbly Beach
STR_DTLS    :Develop Bumbly Beach's small amusement park into a thriving theme park

<Trinity Islands>
STR_SCNR    :Trinity Islands
STR_PARK    :Trinity Islands
STR_DTLS    :Several islands form the basis for this new park

<Katie's Dreamland>
STR_SCNR    :Katie's Dreamland
STR_PARK    :Katie's Dreamland
STR_DTLS    :A small theme park with a few rides and room for expansion - Your aim is to double the park value

<Pokey Park>
STR_SCNR    :Pokey Park
STR_PARK    :Pokey Park
STR_DTLS    :A small, cramped amusement park which requires major expansion

<White Water Park>
STR_SCNR    :White Water Park
STR_PARK    :White Water Park
STR_DTLS    :A park with some excellent water-based rides requires expansion

<Millennium Mines>
STR_SCNR    :Millennium Mines
STR_PARK    :Millennium Mines
STR_DTLS    :Convert a large abandoned mine from a tourist attraction into a theme park

<Karts & Coasters>
STR_SCNR    :Karts & Coasters
STR_PARK    :Karts & Coasters
STR_DTLS    :A large park hidden in the forest, with only go-kart tracks and wooden roller coasters

<Mel's World>
STR_SCNR    :Mel's World
STR_PARK    :Mel's World
STR_DTLS    :This theme park has some well-designed modern rides, but plenty of space for expansion

<Mystic Mountain>
STR_SCNR    :Mystic Mountain
STR_PARK    :Mystic Mountain
STR_DTLS    :In the hilly forests of Mystic Mountain, build a theme park from scratch

<Pacific Pyramids>
STR_SCNR    :Pacific Pyramids
STR_PARK    :Pacific Pyramids
STR_DTLS    :Convert the Egyptian Ruins tourist attraction into a thriving theme park

<Crumbly Woods>
STR_SCNR    :Crumbly Woods
STR_PARK    :Crumbly Woods
STR_DTLS    :A large park with well-designed but rather old rides - Replace the old rides or add new rides to make the park more popular

<Paradise Pier>
STR_SCNR    :Paradise Pier
STR_PARK    :Paradise Pier
STR_DTLS    :Convert this sleepy town's pier into a thriving attraction

<Lightning Peaks>
STR_SCNR    :Lightning Peaks
STR_PARK    :Lightning Peaks
STR_DTLS    :The beautiful mountains of Lightning Peaks are popular with walkers and sightseers - Use the available land to attract a new thrill-seeking clientele

<Ivory Towers>
STR_SCNR    :Ivory Towers
STR_PARK    :Ivory Towers
STR_DTLS    :A well-established park, which has a few problems

<Rainbow Valley>
STR_SCNR    :Rainbow Valley
STR_PARK    :Rainbow Valley
STR_DTLS    :Rainbow Valley's local authority won't allow any landscape changes or large tree removal, but you must develop the area into a large theme park

<Thunder Rock>
STR_SCNR    :Thunder Rock
STR_PARK    :Thunder Rock
STR_DTLS    :Thunder Rock stands in the middle of a desert and attracts many tourists - Use the available space to build rides to attract more people

<Mega Park>
STR_SCNR    :Mega Park
STR_PARK    :Mega Park
STR_DTLS    :Just for fun!

## Added Attractions
<Whispering Cliffs>
STR_SCNR    :Whispering Cliffs
STR_PARK    :Whispering Cliffs
STR_DTLS    :Develop the seaside cliffs into a thriving amusement park

<Three Monkeys Park>
STR_SCNR    :Three Monkeys Park
STR_PARK    :Three Monkeys Park
STR_DTLS    :Central to this large developing park is a giant triple-track racing/duelling steel coaster

<Canary Mines>
STR_SCNR    :Canary Mines
STR_PARK    :Canary Mines
STR_DTLS    :This abandoned mine already has the makings of a tourist attraction with its miniature railway and a pair of vertical drop roller coasters

<Barony Bridge>
STR_SCNR    :Barony Bridge
STR_PARK    :Barony Bridge
STR_DTLS    :An old redundant bridge is yours to develop into an amusement park

<Funtopia>
STR_SCNR    :Funtopia
STR_PARK    :Funtopia
STR_DTLS    :Covering land both sides of a highway, this park has several rides already operating

<Haunted Harbor>
STR_SCNR    :Haunted Harbor
STR_PARK    :Haunted Harbor
STR_DTLS    :The local authority has agreed to sell nearby land cheaply to this small seaside park, on the condition that certain rides are preserved

<Fun Fortress>
STR_SCNR    :Fun Fortress
STR_PARK    :Fun Fortress
STR_DTLS    :This castle is all yours to turn into a theme park

<Future World>
STR_SCNR    :Future World
STR_PARK    :Future World
STR_DTLS    :This futuristic park has plenty of space for new rides on its alien landscape

<Gentle Glen>
STR_SCNR    :Gentle Glen
STR_PARK    :Gentle Glen
STR_DTLS    :The local population prefer gentle and relaxing rides, so it is your job to expand this park to suit their tastes

<Jolly Jungle>
STR_SCNR    :Jolly Jungle
STR_PARK    :Jolly Jungle
STR_DTLS    :Deep in the jungle lies a large area of land ready to be turned into a theme park

<Hydro Hills>
STR_SCNR    :Hydro Hills
STR_PARK    :Hydro Hills
STR_DTLS    :A series of stepped lakes form the basis for this new park

<Sprightly Park>
STR_SCNR    :Sprightly Park
STR_PARK    :Sprightly Park
STR_DTLS    :This elderly park has many historical rides but is badly in debt

<Magic Quarters>
STR_SCNR    :Magic Quarters
STR_PARK    :Magic Quarters
STR_DTLS    :A large area of land has been cleared and partially themed ready for you to develop into a landscaped theme park

<Fruit Farm>
STR_SCNR    :Fruit Farm
STR_PARK    :Fruit Farm
STR_DTLS    :A thriving fruit farm has built a railroad to boost its income, your job is to develop it into a full-blown amusement park

<Butterfly Dam>
STR_SCNR    :Butterfly Dam
STR_PARK    :Butterfly Dam
STR_DTLS    :The area around a dam is available for you to develop into an amusement park

<Coaster Canyon>
STR_SCNR    :Coaster Canyon
STR_PARK    :Coaster Canyon
STR_DTLS    :A vast canyon is yours to turn into a theme park

<Thunderstorm Park>
STR_SCNR    :Thunderstorm Park
STR_PARK    :Thunderstorm Park
STR_DTLS    :The weather is so wet here that a giant pyramid has been built to allow some rides to be built under cover

<Harmonic Hills>
STR_SCNR    :Harmonic Hills
STR_PARK    :Harmonic Hills
STR_DTLS    :The local authority won't allow you to build above tree height in this park

<Roman Village>
STR_SCNR    :Roman Village
STR_PARK    :Roman Village
STR_DTLS    :Develop this Roman-themed park by adding rides and roller coasters

<Swamp Cove>
STR_SCNR    :Swamp Cove
STR_PARK    :Swamp Cove
STR_DTLS    :Built partly on a series of small islands, this park already has a pair of large roller coasters as its centerpiece

<Adrenaline Heights>
STR_SCNR    :Adrenaline Heights
STR_PARK    :Adrenaline Heights
STR_DTLS    :Build a park to appeal to the high-intensity thrill-seeking local people

<Utopia Park>
STR_SCNR    :Utopia Park
STR_PARK    :Utopia Park
STR_DTLS    :An oasis in the middle of the desert provides an unusual opportunity to build an amusement park

<Rotting Heights>
STR_SCNR    :Rotting Heights
STR_PARK    :Rotting Heights
STR_DTLS    :Overgrown and dilapidated, can you resurrect this once-great amusement park?

<Fiasco Forest>
STR_SCNR    :Fiasco Forest
STR_PARK    :Fiasco Forest
STR_DTLS    :Full of badly designed and dangerous rides, you have a very limited budget and time to fix the problems and turn the park around

<Pickle Park>
STR_SCNR    :Pickle Park
STR_PARK    :Pickle Park
STR_DTLS    :The local authority will not allow any kind of advertising or promotion, so this park must succeed by reputation only

<Giggle Downs>
STR_SCNR    :Giggle Downs
STR_PARK    :Giggle Downs
STR_DTLS    :A four lane steeplechase ride is the centerpiece of this expanding park

<Mineral Park>
STR_SCNR    :Mineral Park
STR_PARK    :Mineral Park
STR_DTLS    :Turn this abandoned stone quarry into a place to attract thrill-seeking tourists

<Coaster Crazy>
STR_SCNR    :Coaster Crazy
STR_PARK    :Coaster Crazy
STR_DTLS    :You have limited funds but unlimited time to turn this mountainside area into a vast roller coaster park

<Urban Park>
STR_SCNR    :Urban Park
STR_PARK    :Urban Park
STR_DTLS    :A tiny park has done a deal with the nearby town to allow expansion through the town itself

<Geoffrey Gardens>
STR_SCNR    :Geoffrey Gardens
STR_PARK    :Geoffrey Gardens
STR_DTLS    :A large garden park needs turning into a thriving theme park


## Loopy Landscapes
<Iceberg Islands>
STR_SCNR    :Iceberg Islands
STR_PARK    :Iceberg Islands
STR_DTLS    :A collection of icebergs make a cold setting for this ambitious theme park

<Volcania>
STR_SCNR    :Volcania
STR_PARK    :Volcania
STR_DTLS    :A dormant volcano is the setting of this coaster-building challenge

<Arid Heights>
STR_SCNR    :Arid Heights
STR_PARK    :Arid Heights
STR_DTLS    :Free of any financial limits, your challenge is to develop this desert park while keeping the guests happy

<Razor Rocks>
STR_SCNR    :Razor Rocks
STR_PARK    :Razor Rocks
STR_DTLS    :Your task is to build a massive coaster-filled park in amongst Razor Rocks

<Crater Lake>
STR_SCNR    :Crater Lake
STR_PARK    :Crater Lake
STR_DTLS    :A large lake in an ancient crater is the setting for this park

<Vertigo Views>
STR_SCNR    :Vertigo Views
STR_PARK    :Vertigo Views
STR_DTLS    :This large park already has an excellent hyper-coaster, but your task is to massively increase its profit

<Paradise Pier 2>
STR_SCNR    :Paradise Pier 2
STR_PARK    :Paradise Pier 2
STR_DTLS    :Paradise Pier has expanded its network of walkways over the sea, and your task is to expand the park to use the extra space

<Dragon's Cove>
STR_SCNR    :Dragon's Cove
STR_PARK    :Dragon's Cove
STR_DTLS    :This sea-side cove is the setting for this coaster-building challenge

<Good Knight Park>
STR_SCNR    :Good Knight Park
STR_PARK    :Good Knight Park
STR_DTLS    :A castle with a pair of roller coasters needs developing into a larger theme park

<Wacky Warren>
STR_SCNR    :Wacky Warren
STR_PARK    :Wacky Warren
STR_DTLS    :A park which has much of its footpaths and coasters underground

<Grand Glacier>
STR_SCNR    :Grand Glacier
STR_PARK    :Grand Glacier
STR_DTLS    :A glacier-filled valley is yours to develop into a theme park

<Crazy Craters>
STR_SCNR    :Crazy Craters
STR_PARK    :Crazy Craters
STR_DTLS    :In a far-off world where money is not needed, you must build an entertainment centre to keep the people happy

<Dusty Desert>
STR_SCNR    :Dusty Desert
STR_PARK    :Dusty Desert
STR_DTLS    :Five coasters require completion in this desert park

<Woodworm Park>
STR_SCNR    :Woodworm Park
STR_PARK    :Woodworm Park
STR_DTLS    :This historical park is only allowed to build older-styled rides

<Icarus Park>
STR_SCNR    :Icarus Park
STR_PARK    :Icarus Park
STR_DTLS    :Develop this alien park to maximize its profit

<Sunny Swamps>
STR_SCNR    :Sunny Swamps
STR_PARK    :Sunny Swamps
STR_DTLS    :This well-themed amusement park already has several rides, but has plenty of space for expansion

<Frightmare Hills>
STR_SCNR    :Frightmare Hills
STR_PARK    :Frightmare Hills
STR_DTLS    :A scary park with a giant centrepiece coaster

<Thunder Rocks>
STR_SCNR    :Thunder Rocks
STR_PARK    :Thunder Rocks
STR_DTLS    :Two large hunks of rock stick out of the sand, upon which the beginnings of a theme park are constructed

<Octagon Park>
STR_SCNR    :Octagon Park
STR_PARK    :Octagon Park
STR_DTLS    :In this large park you must design and build ten large coasters

<Pleasure Island>
STR_SCNR    :Pleasure Island
STR_PARK    :Pleasure Island
STR_DTLS    :A long thin island makes a challenging setting to build a selection of coasters

<Icicle Worlds>
STR_SCNR    :Icicle Worlds
STR_PARK    :Icicle Worlds
STR_DTLS    :An icy landscape needs turning into a thriving theme park

<Southern Sands>
STR_SCNR    :Southern Sands
STR_PARK    :Southern Sands
STR_DTLS    :A desert park with some cleverly designed coasters is yours to expand

<Tiny Towers>
STR_SCNR    :Tiny Towers
STR_PARK    :Tiny Towers
STR_DTLS    :In this tiny park you must finish building the five existing coasters

<Nevermore Park>
STR_SCNR    :Nevermore Park
STR_PARK    :Nevermore Park
STR_DTLS    :A large park with a novel transportation system around its edge

<Pacifica>
STR_SCNR    :Pacifica
STR_PARK    :Pacifica
STR_DTLS    :This large island is all yours to develop as an amusement park

<Urban Jungle>
STR_SCNR    :Urban Jungle
STR_PARK    :Urban Jungle
STR_DTLS    :A giant abandoned skyscraper is a unique opportunity for a theme park developer

<Terror Town>
STR_SCNR    :Terror Town
STR_PARK    :Terror Town
STR_DTLS    :This urban area is all yours to develop into an amusement park

<Megaworld Park>
STR_SCNR    :Megaworld Park
STR_PARK    :Megaworld Park
STR_DTLS    :A giant park already packed full of rides needs improving

<Venus Ponds>
STR_SCNR    :Venus Ponds
STR_PARK    :Venus Ponds
STR_DTLS    :On a far-away planet this area of land needs turning into a theme park

<Micro Park>
STR_SCNR    :Micro Park
STR_PARK    :Micro Park
STR_DTLS    :Try to create the world's smallest profitable park

## Real Parks from RCT1
# None of them had details
<Alton Towers>
STR_SCNR    :Alton Towers
STR_PARK    :Alton Towers
STR_DTLS    :

<Heide-Park>
STR_SCNR    :Heide-Park
STR_PARK    :Heide-Park
STR_DTLS    :

<Blackpool Pleasure Beach>
STR_SCNR    :Blackpool Pleasure Beach
STR_PARK    :Blackpool Pleasure Beach
STR_DTLS    :

## Misc parks from RCT1
# Had no details
<Fort Anachronism>
STR_SCNR    :Fort Anachronism
STR_PARK    :Fort Anachronism
STR_DTLS    :

#####################
# Rides/attractions #
#####################

#WW
[CONDORRD]
STR_NAME    :Condor Ride
STR_DESC    :Riding in special harnesses below the track, riders experience the feeling of flight as they swoop through the air in Condor-shaped trains
STR_CPTY    :4 passengers per car
